,,,HOW TO USE THIS FILE
,,,Above the below table are indicated the sample sizes of the null hypotheses used to generate it
,,,as well as the number of independent simulations of the null hypothesis used.
,,,"To find the p-value corresponding to your MIC score, look for the largest number less than your"
,,,score in the left-hand column. The p-value of your score is at most the number in the middle
,,,column of that row + the uncertainty listed in the right column of the same row.

,,,**Note that these p-values are uncorrected. This means that you must correct the p-value you
,,,obtain here to account for the number of tests you performed. We suggest doing this by
,,,controlling the false discovery rate.

n = 120, numTrials = 30000000
MIC >= x,gives p <= y,+/- (with 95% confidence)
0.387220,0.000151103,0.000004398
0.387210,0.000151359,0.000004402
0.387160,0.000151615,0.000004406
0.387120,0.000151871,0.000004410
0.387100,0.000152127,0.000004413
0.387080,0.000152383,0.000004417
0.387070,0.000152640,0.000004421
0.387050,0.000152896,0.000004424
0.387010,0.000153152,0.000004428
0.386990,0.000153408,0.000004432
0.386970,0.000153664,0.000004436
0.386940,0.000153920,0.000004439
0.386920,0.000154176,0.000004443
0.386910,0.000154432,0.000004447
0.386870,0.000154688,0.000004450
0.386820,0.000154945,0.000004454
0.386790,0.000155201,0.000004458
0.386760,0.000155457,0.000004461
0.386750,0.000155713,0.000004465
0.386720,0.000155969,0.000004469
0.386700,0.000156225,0.000004472
0.386680,0.000156481,0.000004476
0.386650,0.000156737,0.000004480
0.386620,0.000156993,0.000004483
0.386600,0.000157249,0.000004487
0.386560,0.000157506,0.000004491
0.386530,0.000157762,0.000004494
0.386490,0.000158018,0.000004498
0.386470,0.000158274,0.000004502
0.386450,0.000158530,0.000004505
0.386430,0.000158786,0.000004509
0.386410,0.000159042,0.000004512
0.386380,0.000159298,0.000004516
0.386350,0.000159554,0.000004520
0.386320,0.000159811,0.000004523
0.386290,0.000160067,0.000004527
0.386270,0.000160323,0.000004531
0.386240,0.000160579,0.000004534
0.386210,0.000160835,0.000004538
0.386190,0.000161091,0.000004541
0.386170,0.000161347,0.000004545
0.386150,0.000161603,0.000004549
0.386120,0.000161859,0.000004552
0.386100,0.000162115,0.000004556
0.386090,0.000162372,0.000004559
0.386070,0.000162628,0.000004563
0.386050,0.000162884,0.000004567
0.386020,0.000163140,0.000004570
0.386000,0.000163396,0.000004574
0.385980,0.000163652,0.000004577
0.385960,0.000163908,0.000004581
0.385940,0.000164164,0.000004585
0.385910,0.000164420,0.000004588
0.385870,0.000164677,0.000004592
0.385860,0.000164933,0.000004595
0.385830,0.000165189,0.000004599
0.385800,0.000165445,0.000004602
0.385780,0.000165701,0.000004606
0.385760,0.000165957,0.000004610
0.385710,0.000166213,0.000004613
0.385690,0.000166469,0.000004617
0.385630,0.000166725,0.000004620
0.385600,0.000166982,0.000004624
0.385580,0.000167238,0.000004627
0.385560,0.000167494,0.000004631
0.385530,0.000167750,0.000004634
0.385480,0.000168006,0.000004638
0.385470,0.000168262,0.000004641
0.385440,0.000168518,0.000004645
0.385420,0.000168774,0.000004648
0.385400,0.000169030,0.000004652
0.385380,0.000169286,0.000004656
0.385360,0.000169543,0.000004659
0.385340,0.000169799,0.000004663
0.385320,0.000170055,0.000004666
0.385290,0.000170311,0.000004670
0.385260,0.000170567,0.000004673
0.385250,0.000170823,0.000004677
0.385220,0.000171079,0.000004680
0.385190,0.000171335,0.000004684
0.385160,0.000171591,0.000004687
0.385140,0.000171848,0.000004691
0.385120,0.000172104,0.000004694
0.385080,0.000172360,0.000004698
0.385060,0.000172616,0.000004701
0.385020,0.000172872,0.000004705
0.385010,0.000173128,0.000004708
0.384990,0.000173384,0.000004712
0.384970,0.000173640,0.000004715
0.384950,0.000173896,0.000004718
0.384920,0.000174153,0.000004722
0.384900,0.000174409,0.000004725
0.384880,0.000174665,0.000004729
0.384870,0.000174921,0.000004732
0.384840,0.000175177,0.000004736
0.384820,0.000175433,0.000004739
